Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2024-06-10,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 06/09,,-21.28,
2024-06-10,OpenAI,Business Tech,Eager LLC Checking (...6563),OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA 06/08,,-21.28,
2024-06-03,upwork,Upwork,Eager LLC Checking (...6563),Upwork -701601476REF 650-8534100 CA 06/03,,-110.51,
2024-06-03,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 06/01,,-53.73,
2024-05-31,Monthly Service Fee,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-05-28,upwork,Upwork,Eager LLC Checking (...6563),UPWORK -699372304 866-262-4478 CA 05/27,,-505.2,
2024-05-22,FULLSCREEN GOOGLETAS HTTPSCHROME,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 05/22,,-1.29,
2024-05-20,upwork,Upwork,Eager LLC Checking (...6563),Upwork -697195014REF 650-8534100 CA 05/20,,-271.58,
2024-05-13,upwork,Upwork,Eager LLC Checking (...6563),Upwork -694989955REF 650-8534100 CA 05/13,,-49.12,
2024-05-09,GoDaddy,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY.COM https://www.g AZ 05/08,,-12.17,
2024-05-09,OpenAI,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 05/09,,-21.28,
2024-05-08,OpenAI,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 05/08,,-21.28,
2024-05-07,upwork,Upwork,Eager LLC Checking (...6563),UPWORK -692808730 866-262-4478 CA 05/06,,-61.4,
2024-05-01,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 05/01,,-53.73,
2024-04-30,upwork,Upwork,Eager LLC Checking (...6563),UPWORK -690592723 866-262-4478 CA 04/29,,-245.58,
2024-04-30,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-04-26,GoDaddy,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY.COM 480-5058855 AZ 04/24,,-12.17,
2024-04-22,upwork,Upwork,Eager LLC Checking (...6563),Upwork -688408007REF 650-8534100 CA 04/22,,-61.4,
2024-04-22,upwork,Upwork,Eager LLC Checking (...6563),Upwork -687271377REF 650-8534100 CA 04/21,,-210.5,
2024-04-22,FULLSCREEN GOOGLETAS HTTPSCHROME,Transfer,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 04/22,,-1.29,
2024-04-15,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -686211941REF 650-8534100 CA 04/15,,-189.45,
2024-04-09,OpenAI,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 04/09,,-21.28,
2024-04-08,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -684110582REF 650-8534100 CA 04/08,,-56.13,
2024-04-08,OpenAI,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 04/08,,-21.28,
2024-04-01,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -681875882REF 650-8534100 CA 04/01,,-212.25,
2024-04-01,Google Workspace,Google Email,Eager LLC Checking (...6563),GOOGLE GSUITE_fluckig 650-2530000 CA 04/01,,-47.36,
2024-03-29,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-03-26,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX0386REF XXX-XXX4100 CA 03/26,,-189.45,
2024-03-22,FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 03/22,Miscellaneous,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 03/22,,-1.29,
2024-03-21,POS DEBIT FULLSCREEN GOOGLETASKS +XXXXXXX8848 DC,Miscellaneous,Eager LLC Checking (...6563),POS DEBIT FULLSCREEN GOOGLETASKS +XXXXXXX8848 DC,,-1.29,
2024-03-18,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX4034REF XXX-XXX4100 CA 03/18,,-412.23,
2024-03-11,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX7592REF XXX-XXX4100 CA 03/11,,-936.73,
2024-03-11,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 03/09,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 03/09,,-21.28,
2024-03-08,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 03/08,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 03/08,,-21.28,
2024-03-04,Upwork,Upwork,Eager LLC Checking (...6563),POS DEBIT UPWORK -XXXXX8268REF XXX-XXX4100 CA 00NNX3269,,-232.75,
2024-03-04,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX8268REF XXX-XXX4100 CA 03/04,,-232.75,
2024-03-01,GOOGLE *GSUITE_fluck cc@google.com CA 03/01,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 03/01,,-44.77,
2024-02-29,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-02-22,POS DEBIT FULLSCREEN GOOGLETASKS +XXXXXXX8848 DC 0NN0 3174,Miscellaneous,Eager LLC Checking (...6563),POS DEBIT FULLSCREEN GOOGLETASKS +XXXXXXX8848 DC 0NN0 3174,,-1.29,
2024-02-22,FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 02/22,Miscellaneous,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 02/22,,-1.29,
2024-02-20,GoDaddy.com,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY.COM XXX-XXX8855 AZ 02/17,,-23.17,
2024-02-17,GoDaddy.com,Miscellaneous,Eager LLC Checking (...6563),POS DEBIT DNH*GODADDY.COM XXX-XXX8855 AZ,,-23.17,
2024-02-09,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 02/09,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 02/09,,-21.28,
2024-02-08,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 02/08,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 02/08,,-21.28,
2024-02-08,OPENAI HTTPSOPENAI.C CA 02/08,Business Tech,Eager LLC Checking (...6563),OPENAI HTTPSOPENAI.C CA 02/08,,-22.41,
2024-02-05,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX8136REF XXX-XXX4100 CA 02/05,,-110.51,
2024-02-01,GOOGLE *GSUITE_fluck cc@google.com CA 02/01,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 02/01,,-44.77,
2024-01-31,MONTHLY SERVICE FEE,Financial Fees,Eager LLC Checking (...6563),MONTHLY SERVICE FEE,,-15,
2024-01-29,Upwork,Upwork,Eager LLC Checking (...6563),POS DEBIT UPWORK -XXXXX0457REF XXX-XXX4100 CA 00NNX3269,,-306.98,
2024-01-29,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX0457REF XXX-XXX4100 CA 01/29,,-306.98,
2024-01-25,POS DEBIT EB *DATA DAY TEXAS AI SAN FRANCISC CA,Entertainment & Recreation,Eager LLC Checking (...6563),POS DEBIT EB *DATA DAY TEXAS AI SAN FRANCISC CA,,-357.99,
2024-01-25,EB DATA DAY TEXAS AI XXX-XXX-7200 CA 01/24,Eager LLC Expense,Eager LLC Checking (...6563),EB DATA DAY TEXAS AI XXX-XXX-7200 CA 01/24,Educational expense at Data Day Texas.,-357.99,
2024-01-23,GoDaddy.com,Miscellaneous,Eager LLC Checking (...6563),DNH*GODADDY.COM XXX-XXX8855 AZ 01/22,,-22.17,
2024-01-22,FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 01/22,Miscellaneous,Eager LLC Checking (...6563),FULLSCREEN GOOGLETAS HTTPSCHROME.G DC 01/22,,-1.29,
2024-01-16,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX0815REF XXX-XXX4100 CA 01/15,,-159.63,
2024-01-09,POS DEBIT OPENAI +XXXXXXX9686 CA 00NNX3832,Business Tech,Eager LLC Checking (...6563),POS DEBIT OPENAI +XXXXXXX9686 CA 00NNX3832,,-11.19,
2024-01-09,POS DEBIT CHATGPT SUBSCRIPTION +XXXXXXX9686 CA 00NNX3832,Entertainment & Recreation,Eager LLC Checking (...6563),POS DEBIT CHATGPT SUBSCRIPTION +XXXXXXX9686 CA 00NNX3832,,-21.28,
2024-01-09,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 01/09,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 01/09,,-21.28,
2024-01-09,OPENAI HTTPSOPENAI.C CA 01/09,Business Tech,Eager LLC Checking (...6563),OPENAI HTTPSOPENAI.C CA 01/09,,-11.19,
2024-01-08,CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 01/08,Business Tech,Eager LLC Checking (...6563),CHATGPT SUBSCRIPTION HTTPSOPENAI.C CA 01/08,,-21.28,
2024-01-08,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX7056REF XXX-XXX4100 CA 01/08,,-294.7,
2024-01-02,Upwork,Upwork,Eager LLC Checking (...6563),Upwork -XXXXX2497REF XXX-XXX4100 CA 01/01,,-306.98,
2024-01-02,"PINECONE SYSTEMS, IN HTTPSWWW.PINE CA 01/01",Miscellaneous,Eager LLC Checking (...6563),"PINECONE SYSTEMS, IN HTTPSWWW.PINE CA 01/01",,-0.65,
2024-01-02,GOOGLE *GSUITE_fluck cc@google.com CA 01/01,Google Email,Eager LLC Checking (...6563),GOOGLE *GSUITE_fluck cc@google.com CA 01/01,,-44.77,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Total,"-$11,311.01",
,,,,,,,
,,,,,Upwork Total,"-$8,878.32",
